city,country,lat,lon,entity_count,origination_count,origination_rate,adoption_count,adoption_rate,avg_lag,median_lag,collaboration_count,weighted_degree,betweenness,eigenvector_centrality,population_million,gdp_per_capita,education_tertiary_pct,internet_users_pct,rd_expenditure_pct,research_capacity,timezone_utc,region,origination_rate_pop,adoption_rate_pop,collaboration_rate_pop,lag_std,avg_lag_nonorig,cross_region_ratio_calc,pop_top25_share,orig_top25_share,lag_quality_corr,avg_fork_star_ratio,iei_std,iei_quality_corr,avg_iei,cluster,role
Brisbane,Australia,-27.4698,153.0251,53,5.0,0.0943396226415094,83,1.5660377358490567,8.25,4.0,1071.0,1071,0.0010976434979237,0.0236714365691642,2.6,63530,113.0,96.0,1.68,1,10.0,Oceania,1.92,31.92,411.92,9.293117533952376,8.782051282051283,0.965452847805789,0.6046511627906976,0.3243988457839051,0.073360817676157,0.204521363355309,4.721985875728923,-0.2618244538747996,3.590909090909091,1.0,Connector
Waterloo,Canada,43.4643,-80.5204,53,8.0,0.1509433962264151,79,1.490566037735849,9.89,6.0,1169.0,1169,0.0019344906082804,0.0272751731664434,0.58,52080,75.0,93.0,1.69,1,-5.5,North America,13.79,136.21,2015.52,10.519807132106642,11.0,0.6612489307100086,0.6447368421052632,0.1382209397598945,0.3517544111875268,0.2264836843738734,3.890122214977009,-0.1929309062836972,2.310344827586207,3.0,Adopter
Ankara,Turkey,39.93339999999999,32.8597,53,4.0,0.0754716981132075,67,1.2641509433962264,7.4,5.0,967.0,967,0.0032549988509592,0.0222075857926479,5.7,10674,99.0,83.0,1.09,0,2.0,Middle East,0.7,11.75,169.65,7.825869496647753,7.873015873015873,0.96794208893485,0.5882352941176471,0.1382209397598945,0.2049718712465644,0.4236956847995303,2.071137462750938,-0.0221375643103093,2.1320754716981134,1.0,Connector
Cairo,Egypt,30.0444,31.2357,52,8.0,0.1538461538461538,76,1.4615384615384617,9.82,7.0,884.0,884,0.0030065225608296,0.0201651417000245,21.3,3635,35.0,72.0,0.96,1,2.0,Middle East,0.38,3.57,41.5,9.737502111343598,10.970588235294118,0.9796380090497736,0.618421052631579,0.1726144967568501,0.3584678696916654,0.3346269080000367,3.6447432015801176,-0.3100221304590235,3.557377049180328,1.0,Connector
Cupertino,United States,37.323,-122.0322,51,8.0,0.1568627450980392,70,1.3725490196078431,7.73,3.5,852.0,852,0.0060983528187753,0.0207323006298042,0.06,76330,88.2,92.0,3.46,0,-8.0,North America,133.33,1166.67,14200.0,9.351309957947423,8.725806451612904,0.6443661971830986,0.6666666666666666,0.1726144967568501,0.0319245887061434,0.1488258725655197,4.770565545712865,-0.3617209622850941,2.7884615384615383,3.0,Adopter
Ho Chi Minh City,Vietnam,10.823100000000002,106.6297,51,6.0,0.1176470588235294,86,1.6862745098039216,9.48,7.0,1206.0,1206,0.0007953478608198,0.0271182662233878,9.3,4164,28.5,79.0,0.43,0,7.0,Southeast Asia,0.65,9.25,129.68,9.352856429594803,10.1875,0.965174129353234,0.788235294117647,0.2493320508710056,0.4065858774983543,0.1821792962890853,2.9356362898321726,-0.0733281150455923,2.112676056338028,1.0,Connector
Frankfurt,Germany,50.1109,8.6821,49,79.0,1.6122448979591837,134,2.7346938775510203,3.37,0.0,925.0,925,0.0016790198684215,0.0217126359973924,2.3,51380,72.0,93.0,3.13,0,0.5,Europe,34.35,58.26,402.17,6.751820745553902,8.2,0.7340540540540541,0.7241379310344828,0.4054985572298814,0.0893439881672455,0.1480903616286132,3.117151219633993,-0.2459655803624661,2.6862745098039214,3.0,Adopter
Auckland,New Zealand,-36.8485,174.76329999999996,49,1.0,0.0204081632653061,71,1.4489795918367347,11.06,7.0,971.0,971,0.0065707368048252,0.022333022992597,1.7,48780,77.0,96.0,1.37,0,11.5,Oceania,0.59,41.76,571.18,10.363241803803705,11.214285714285714,0.9639546858908342,0.704225352112676,0.3739980763065085,0.130395652577454,0.41350583328335,4.080416839895355,-0.3942084106784855,3.9523809523809526,1.0,Connector
Hanoi,Vietnam,21.0278,105.8342,49,20.0,0.4081632653061224,69,1.4081632653061225,4.71,2.0,671.0,671,0.0055221112357109,0.0151415013163139,8.4,4164,28.5,79.0,0.43,1,7.0,Southeast Asia,2.38,8.21,79.88,6.378044715306708,6.63265306122449,0.9448584202682564,0.5357142857142857,0.11308985980355,0.4152281522786624,0.1548965861284897,2.96248227305442,-0.4318437877683105,4.682926829268292,1.0,Connector
Minneapolis,United States,44.977799999999995,-93.265,46,1.0,0.0217391304347826,48,1.0434782608695652,9.46,5.0,742.0,742,0.0072012312626284,0.0176052671998301,3.7,76330,88.2,92.0,3.46,0,-6.0,North America,0.27,12.97,200.54,9.76306180900873,9.659574468085106,0.6361185983827493,0.625,0.2073314096398418,0.2062119613653258,0.1746729834614845,2.8568659888000254,-0.3145380500962842,4.285714285714286,0.0,Dormant
Rio de Janeiro,Brazil,-22.9068,-43.1729,45,0.0,0.0,51,1.1333333333333333,12.33,11.0,828.0,828,0.0047268498873436,0.0186874438061992,13.5,8920,55.0,84.0,1.16,0,-3.0,Latin America,0.0,3.78,61.33,10.777136292478936,12.333333333333334,0.9770531400966184,0.6470588235294118,0.2487976915678102,0.1892565912928728,0.2945525089441313,2.4958800464546513,-0.2781476274679309,1.7659574468085106,1.0,Connector
Cologne,Germany,50.9375,6.9603,45,1.0,0.0222222222222222,54,1.2,11.17,8.0,642.0,642,0.0036176461099807,0.0152335639495356,1.1,51380,72.0,93.0,3.13,0,0.5,Europe,0.91,49.09,583.64,11.224551930377258,11.37735849056604,0.6900311526479751,0.6481481481481481,0.2073314096398418,0.1503666627182482,0.1691085815680671,1.4205983061764191,-0.2641567425833416,2.46,3.0,Adopter
Santiago,Chile,-33.4489,-70.6693,45,0.0,0.0,53,1.1777777777777778,10.21,7.0,792.0,792,0.0069517303367109,0.0185244216828965,7.1,16265,105.0,90.0,0.34,0,-4.5,Latin America,0.0,7.46,111.55,11.18439587888487,10.20754716981132,0.9848484848484848,0.5925925925925926,0.2487976915678102,0.1126110744919454,0.3194933907657408,3.1079142854451045,-0.2570841089279705,2.7777777777777777,1.0,Connector
Abu Dhabi,United Arab Emirates,24.4539,54.3773,44,43.0,0.9772727272727272,131,2.977272727272727,6.79,1.0,820.0,820,0.0038165803678681,0.0198319357122555,1.5,49450,33.0,99.0,1.3,0,3.5,Middle East,28.67,87.33,546.67,9.344688029190111,10.102272727272728,0.973170731707317,0.6262626262626263,0.0956914198337731,0.2178109315114056,0.1428495798649078,4.06110050521196,-0.4286702337769641,3.4477611940298507,1.0,Connector
Tianjin,China,39.3434,117.3616,44,8.0,0.1818181818181818,72,1.6363636363636365,8.11,6.0,574.0,574,0.0113903470550219,0.0153827113341848,13.9,12720,60.0,73.0,2.55,0,8.0,East Asia,0.58,5.18,41.29,9.12287877031713,9.125,0.4825783972125435,0.7222222222222222,0.1726144967568501,0.1372057903662439,0.1544925453782165,3.4655540588865343,-0.3228202734612453,2.4545454545454546,3.0,Adopter
Manchester,United Kingdom,53.4808,-2.2426,44,1.0,0.0227272727272727,57,1.2954545454545454,8.25,5.0,956.0,956,0.0006038782828934,0.0219201525496431,2.8,46125,62.0,95.0,2.9,0,0.0,Europe,0.36,20.36,341.43,10.00764119088578,8.392857142857142,0.7343096234309623,0.6842105263157895,0.2073314096398418,0.2652843548025211,0.2625206015283021,2.37405216459987,-0.2198707077630145,4.549019607843137,3.0,Adopter
Nairobi,Kenya,-1.2921,36.8219,43,2.0,0.0465116279069767,42,0.9767441860465116,8.38,6.0,584.0,584,0.0045453760564458,0.012682404118034,5.0,1840,12.0,40.0,0.79,0,2.5,Africa,0.4,8.4,116.8,9.244516848044286,8.8,0.9777397260273972,0.4523809523809524,0.1777126368341501,0.2394970293291139,0.4096827216784079,6.792232615096585,-0.0669993592927772,3.1052631578947367,1.0,Connector
Ann Arbor,United States,42.2808,-83.743,43,14.0,0.3255813953488372,69,1.6046511627906976,7.8,4.0,856.0,856,0.0039936453265332,0.0193671910407341,0.37,76330,88.2,92.0,3.46,1,-5.5,North America,37.84,186.49,2313.51,9.29038039831734,9.78181818181818,0.6670560747663551,0.6101694915254238,0.1382209397598945,0.4223086765062893,0.1244472150347529,3.051663982358557,-0.3776485756317009,2.9375,3.0,Adopter
Phoenix,United States,33.4484,-112.074,43,3.0,0.0697674418604651,50,1.162790697674419,7.44,4.0,728.0,728,0.0053856980040806,0.0165399869531854,4.9,76330,88.2,92.0,3.46,0,-7.5,North America,0.61,10.2,148.57,9.489328055177328,7.914893617021277,0.6414835164835165,0.68,0.2804985572298814,0.1614211874155334,0.2564746144415477,2.7404146112549386,-0.1123677803072009,2.975609756097561,3.0,Adopter
Jakarta,Indonesia,-6.208800000000001,106.8456,42,18.0,0.4285714285714285,65,1.5476190476190477,6.2,2.0,554.0,554,0.0103335224073835,0.0127065577007078,10.6,4788,36.0,66.0,0.28,1,7.0,Southeast Asia,1.7,6.13,52.26,9.211405973031477,8.574468085106384,0.9566787003610108,0.5344827586206896,0.1402492786149407,0.434683549888921,0.395319622384355,3.8161129136904273,-0.2691309336354566,2.4146341463414633,1.0,Connector
Toulouse,France,43.6047,1.4442,41,0.0,0.0,45,1.0975609756097562,12.27,9.0,761.0,761,0.0025654558336379,0.0168263374130895,1.0,42330,67.0,92.0,2.22,0,0.0,Europe,0.0,45.0,761.0,11.740373232413166,12.266666666666667,0.6636005256241787,0.6,0.2487976915678102,0.0479187877909526,0.1551299311539951,6.987628024752838,-0.4824439929478612,2.9285714285714284,3.0,Adopter
Stuttgart,Germany,48.7758,9.1829,40,4.0,0.1,64,1.6,9.16,6.0,987.0,987,0.0071293957948202,0.0220970709184887,0.63,51380,72.0,93.0,3.13,0,0.5,Europe,6.35,101.59,1566.67,10.883537517227056,9.766666666666667,0.713272543059777,0.7833333333333333,0.1777126368341501,0.2311238606934899,0.1695855059162122,5.267906771274692,-0.0675349773648913,2.5454545454545454,3.0,Adopter
Bucharest,Romania,44.4268,26.1025,39,1.0,0.0256410256410256,54,1.3846153846153846,9.61,5.5,722.0,722,0.0064972759777578,0.0174262694224559,1.8,17000,51.0,84.0,0.47,0,1.5,Europe,0.56,30.0,401.11,10.241271786196387,9.79245283018868,0.703601108033241,0.6851851851851852,0.2073314096398418,0.3900902676258705,0.2158973412358224,2.4631156642574066,0.1871695109158585,2.739130434782609,0.0,Dormant
Cape Town,South Africa,-33.9249,18.4241,36,1.0,0.0277777777777777,67,1.8611111111111112,8.27,6.0,713.0,713,0.0032647967796414,0.0167574930940364,4.7,6190,24.0,72.0,0.83,1,1.0,Africa,0.21,14.26,151.7,7.934546806008174,8.393939393939394,0.9971949509116408,0.6417910447761194,0.2073314096398418,0.3432257514804769,0.1428717756717657,3.284511901817333,-0.0324608637028061,3.1475409836065573,1.0,Connector
Brussels,Belgium,50.8503,4.3517,34,2.0,0.0588235294117647,65,1.911764705882353,12.09,6.0,910.0,910,0.0014618972998437,0.0201492744160765,1.2,49540,80.0,92.0,3.45,1,0.5,Europe,1.67,54.17,758.33,12.555779392528612,12.476190476190476,0.6813186813186813,0.6935483870967742,0.2487976915678102,0.1229745866054988,0.1623683901776254,3.087550867099487,-0.2953839900326473,2.0545454545454547,3.0,Adopter
