author,entity_type,raw_location,source,status,fetched_at
Jalea96,unknown,,unmatched,skipped,
James-WYang,unknown,,unmatched,skipped,
JanosAudran,unknown,,unmatched,skipped,
Jarbas,unknown,,unmatched,skipped,
Jean-Baptiste,unknown,,unmatched,skipped,
JeanKaddour,user,London,cached_github,ok,
JetBrains,organization,Netherlands,cached_github,ok,
JetLM,unknown,,unmatched,skipped,
Jiali,unknown,,unmatched,skipped,
Jiayi-Pan,user,"Bay Area, CA",cached_github,ok,
JinGao,unknown,,unmatched,skipped,
Jinx-org,unknown,,unmatched,skipped,
JoeYing,unknown,,unmatched,skipped,
Joeythemonster,unknown,,unmatched,skipped,
Jofthomas,unknown,,unmatched,skipped,
John6666,unknown,,unmatched,skipped,
JohnSmith9982,unknown,,unmatched,skipped,
Joschka,unknown,,unmatched,skipped,
Josephgflowers,unknown,,unmatched,skipped,
JosephusCheung,organization,"Hong Kong, China",manual,manual,
Jovie,unknown,,unmatched,skipped,
Jr23xd23,unknown,,unmatched,skipped,
JujoHotaru,unknown,,unmatched,skipped,
JuliusAlphonso,unknown,,unmatched,skipped,
JunHowie,unknown,,unmatched,skipped,
Junfeng5,unknown,,unmatched,skipped,
JungZoona,unknown,,unmatched,skipped,
JungleLee,unknown,,unmatched,skipped,
Jurema-br,unknown,,unmatched,skipped,
Jzuluaga,unknown,,unmatched,skipped,
K-Compression,unknown,,unmatched,skipped,
K-intelligence,unknown,,unmatched,skipped,
K024,unknown,,unmatched,skipped,
KB,unknown,,unmatched,skipped,
KBLab,unknown,,unmatched,skipped,
KBlueLeaf,unknown,,unmatched,skipped,
KISTI-KONI,unknown,,unmatched,skipped,
KJML,unknown,,unmatched,skipped,
KORMo-Team,unknown,,unmatched,skipped,
KPF,unknown,,unmatched,skipped,
KaLM-Embedding,unknown,,unmatched,skipped,
KakologArchives,unknown,,unmatched,skipped,
Kaludi,unknown,,unmatched,skipped,
Kaoru8,unknown,,unmatched,skipped,
KathirKs,unknown,,unmatched,skipped,
KatyTheCutie,unknown,,unmatched,skipped,
Keltezaa,unknown,,unmatched,skipped,
Kernel,unknown,,unmatched,skipped,
Kevin-thu,user,Singapore,cached_github,ok,
Keymotek,unknown,,unmatched,skipped,
Khalsuu,unknown,,unmatched,skipped,
Khoa,unknown,,unmatched,skipped,
KickItLikeShika,unknown,,unmatched,skipped,
Kijai,user,Finland,cached_github,ok,
Kikirilkov,unknown,,unmatched,skipped,
KingNish,unknown,,unmatched,skipped,
KingTechnician,unknown,,unmatched,skipped,
KittenML,unknown,,unmatched,skipped,
KlingTeam,unknown,,unmatched,skipped,
Klingspor,unknown,,unmatched,skipped,
KnutJaegersberg,unknown,,unmatched,skipped,
KoalaAI,unknown,,unmatched,skipped,
KoboldAI,unknown,,unmatched,skipped,
Koi953215,unknown,,unmatched,skipped,
KoichiYasuoka,unknown,,unmatched,skipped,
KoljaB,unknown,,unmatched,skipped,
KomeijiForce,user,旧地獄・地霊殿,cached_github,ok,
KonstantinosKK,unknown,,unmatched,skipped,
Kquant03,unknown,,unmatched,skipped,
Kukedlc,unknown,,unmatched,skipped,
Kunbyte,unknown,,unmatched,skipped,
KurmaAI,unknown,,unmatched,skipped,
Kutches,unknown,,unmatched,skipped,
Kvikontent,unknown,,unmatched,skipped,
Kwai-Keye,unknown,,unmatched,skipped,
Kwai-Klear,unknown,,unmatched,skipped,
Kwai-Kolors,unknown,,unmatched,skipped,
