author,entity_type,raw_location,source,status,fetched_at
SZTAKI-HLT,unknown,,unmatched,skipped,
Sahabat-AI,unknown,,unmatched,skipped,
SakanaAI,organization,Tokyo,cached_github,ok,
SakuraLLM,unknown,,unmatched,skipped,
Salesforce,organization,"San Francisco, CA, USA",manual,manual,
SamLowe,unknown,,unmatched,skipped,
SamuelBang,unknown,,unmatched,skipped,
SanctumAI,unknown,,unmatched,skipped,
Sandro-Halpo,unknown,,unmatched,skipped,
SanjiWatsuki,unknown,,unmatched,skipped,
Sanster,user,Shanghai,cached_github,ok,
Sao10K,unknown,,unmatched,skipped,
SargeZT,unknown,,unmatched,skipped,
ScaleAI,unknown,,unmatched,skipped,
SciCode1,unknown,,unmatched,skipped,
SciPhi,unknown,,unmatched,skipped,
ScienceOne-AI,unknown,,unmatched,skipped,
SeaArtLab,unknown,,unmatched,skipped,
SeaLLMs,unknown,,unmatched,skipped,
SebastianBodza,user,Stuttgart,cached_github,ok,
SeeSee21,unknown,,unmatched,skipped,
SenseLLM,unknown,,unmatched,skipped,
SenseTime,unknown,,unmatched,skipped,
ServiceNow,organization,"Montreal, Canada",manual,manual,
ServiceNow-AI,organization,"Montreal, Canada",manual,manual,
SeyedAli,unknown,,unmatched,skipped,
