entity_id,entity_type,raw_location,platform,cleaned_location,matched_city,country,lat,lon,confidence
radi-cho,github_user,"Plovdiv, Bulgaria",GitHub,"Plovdiv, Bulgaria",Пловдив,Bulgaria,42.1418541,24.7499297,medium
intel,github_organization,,GitHub,,,,,,none
amazon-science,github_organization,,GitHub,,,,,,none
xlang-ai,github_organization,,GitHub,,,,,,none
ExtensityAI,github_organization,Austria,GitHub,Austria,,,,,low
mit-han-lab,github_organization,MIT,GitHub,MIT,Cambridge,United States,42.3582529,-71.0966272,medium
fetchai,github_organization,,GitHub,,,,,,none
jacobhilton,github_user,,GitHub,,,,,,none
bupticybee,github_user,,GitHub,,,,,,none
JonasGeiping,github_user,"Tübingen AI Center, Germany",GitHub,"Tübingen AI Center, Germany",,,,,low
dust-tt,github_organization,,GitHub,,,,,,none
Open-Source-Legal,github_organization,,GitHub,,,,,,none
zjunlp,github_organization,China,GitHub,China,,,,,low
xtreme1-io,github_organization,United States of America,GitHub,United States of America,,,,,low
currenjin,github_user,,GitHub,,,,,,none
mindspore-lab,github_organization,,GitHub,,,,,,none
yokoffing,github_user,,GitHub,,,,,,none
explosion,github_organization,"Berlin, Germany",GitHub,"Berlin, Germany",Berlin,Germany,52.52,13.405,high
Yangyi-Chen,github_user,,GitHub,,,,,,none
SkyWorkAIGC,github_user,Beijing,GitHub,Beijing,Beijing,China,39.9042,116.4074,high
different-ai,github_organization,United States of America,GitHub,United States of America,,,,,low
run-ai,github_organization,Israel,GitHub,Israel,,,,,low
jeffhj,github_user,,GitHub,,,,,,none
oughtinc,github_organization,"San Francisco, CA",GitHub,"San Francisco, CA",San Francisco,United States,37.7749,-122.4194,high
PacificAI,github_organization,United States of America,GitHub,United States of America,,,,,low
DSchroer,github_user,,GitHub,,,,,,none
reasoning-machines,github_organization,,GitHub,,,,,,none
dense-analysis,github_organization,United States of America,GitHub,United States of America,,,,,low
